Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Category,Sources_1,Sources_2,Sources_3
Sykipot,2013-09-04,"Also known as JS Sykipot, Backdoor Sykipot, and Maverick Panda","This threat actor has been targeting the U.S. defense industrial base, telecommunications, computer hardware, government contractors, and aerospace firms since at least 2006. It was also seen targeting ""Umbrella revolution"" activists.",,"United States, United Kingdom, Hong Kong",China,Espionage,"Private sector, Military",http://blog.trendmicro.com/trendlabs-security-intelligence/sykipot-now-targeting-us-civil-aviation-sector-information/,https://web.archive.org/web/20150322214113/https://www.sans.org/reading-room/whitepapers/malicious/detailed-analysis-sykipot-smartcard-proxy-variant-33919,http://www.symantec.com/connect/blogs/sykipot-attacks
Icefog,2013-09-25,"Also known as Dagger Panda and possibly linked to Onion Dog","This threat actor targets government institutions, military contractors, maritime and shipbuilding groups, telecommunications operators, and others, primarily in Japan and South Korea.",,"South Korea, Japan, China, United States, Germany",China,Espionage,"Government, Military",http://kasperskycontenthub.com/wp-content/uploads/sites/43/vlpdfs/icefog.pdf,http://www.darkreading.com/attacks-and-breaches/java-icefog-malware-variant-infects-us-businesses/d/d-id/1113451,
"Deep Panda",2013-01-01,"Also known as Shell Crew, Web Masters, APT 19, Kung Fu Kittens, Black Vine, Temp.Avengers, and Group 13","This threat actor compromises high-tech sector companies, the U.S. defense industrial base, nongovernmental organizations, and state and federal government entities for espionage purposes. It is also suspected of being behind the breaches at Anthem, the U.S. Office of Personnel Management, and United Airlines.",,"United States",China,Espionage,"Private sector, Military",http://cybercampaigns.net/wp-content/uploads/2013/06/Deep-Panda.pdf,http://krebsonsecurity.com/2015/02/china-to-blame-in-anthem-hack/,https://web.archive.org/web/20150801000426/https://www.isightpartners.com/2015/07/threatscape-media-highlights-update-week-of-july-29th/
"Red October",2013-01-14,"Also known as the Rocra and believed to be the same threat actor as Cloud Atlas","This threat actor targets governments, diplomatic missions, academics, and energy and aerospace organizations for the purpose of espionage.",,"Russia, Kazakhstan, Azerbaijan, Belgium, India, Afghanistan, Armenia, Iran, Turkmenistan, Ukraine, United States, Vietnam, Belarus, Greece, Italy","Russian Federation",Espionage,"Government, Private sector",https://securelist.com/analysis/publications/36740/red-october-diplomatic-cyber-attacks-investigation/,http://www.bbc.com/news/technology-21013087,
"Compromise of Saudi Aramco and RasGas",2012-08-16,"Believed to have been partially the work of Chrysene","In 2012, threat actors wiped data from approximately thirty-five thousand computers belonging to Saudi Aramco, one of the world’s largest oil companies. Malware called Shamoon stole passwords, wiped data, and prevented computers from rebooting. Hackers calling themselves the ""Cutting Sword of Justice"" claimed responsibility for the incident, asserting they were retaliating against the al-Saud regime for what the group called widespread crimes against humanity. U.S. intelligence sources have attributed the attack to Iran. Less than two weeks after the Aramco incident, the Qatari gas giant RasGas was also knocked offline by suspected state-sponsored  attackers. 

The Saudi Aramco incident signaled Iran’s growing cyber capabilities and Tehran’s willingness to use them to promote its interests, particularly in its battle of influence in the Middle East with Saudi Arabia. At the time, some countries had the capability to remotely destroy computer data, but there were few publicly known instances of a country using them, and Iran may have been responding to a previous attack against the Iranian Oil Ministry and the National Iranian Oil Company that used a malware called Wiper.","Denouncement   http://www.bloomberg.com/news/articles/2012-12-09/saudi-arabia-says-aramco-cyberattack-came-from-foreign-states","Saudia Arabia Aramco Company","Iran (Islamic Republic of)","Data destruction","Private sector",https://securelist.com/blog/incidents/57854/shamoon-the-wiper-copycats-at-work/,http://www.nytimes.com/2012/10/24/business/global/cyberattack-on-saudi-oil-firm-disquiets-us.html?_r=0,http://www.computerworld.com/article/2491501/malware-vulnerabilities/kill-timer-found-in-shamoon-malware-suggests-possible-connection-to-saudi-ar.html
"Lucky Cat",2012-03-30,"Has links to the Shadow Network and SabPub","A threat actor targets computer networks associated with Tibetan activists, as well as military research and development, aerospace, engineering, and shipping industries in India and Japan.",,"India, Japan",China,Espionage,"Civil society, Private sector",http://blog.trendmicro.com/trendlabs-security-intelligence/luckycat-redux-inside-an-apt-campaign/,,
Flame,2012-05-28,"This tool is believed to be the work of the Equation Group. The tool Gauss is believed to be based on the Flame platform.","A threat actor, using a tool called Flame, targeted computers in the Middle East region; the most compromises were in Iran. This compromise gained widespread coverage due to the modular nature of the malware the threat actors used.",,"Iran, Israel, Palestine, Sudan, Syria, Lebanon, Saudi Arabia, Egypt, Hungary, Austria, Russia, United Arab Emirates, France","United States, Israel","Data destruction","Military, Private sector",https://www.securelist.com/en/blog/208193522/The_Flame_Questions_and_Answers,http://www.wired.com/2012/05/flame/,https://www.washingtonpost.com/world/national-security/us-israel-developed-computer-virus-to-slow-iranian-nuclear-efforts-officials-say/2012/06/19/gJQA6xBPoV_story.html
Madi,2012-07-17,,"This threat actor compromises engineering firms, government entities, and financial and academic institutions in the United States, Israel, Iran, and Pakistan",,"Iran, Israel, United States, Pakistan","Iran (Islamic Republic of)",Espionage,"Government, Private sector",https://securelist.com/blog/incidents/33693/the-madi-campaign-part-i-5/,https://securelist.com/blog/incidents/33701/the-madi-campaign-part-ii-53/,
"Compromise of Nortel",2012-02-14,,"Threat actors compromised the networks of Nortel, a now-defunct telecommunications equipment provider, over an extended period of time for the purposes of espionage.",,"Nortel Networks",China,Espionage,"Private sector",https://www.wsj.com/articles/SB10001424052970203363504577187502201577054,http://www.cbc.ca/news/business/nortel-collapse-linked-to-chinese-hackers-1.1260591,
Gauss,2012-08-09,"Believed to be based on the Flame platform and possibly the work of the Equation Group","A threat actor used a tool called Gauss to target the accounts of several Lebanon-based banks, including BlomBank, ByblosBank, Credit Libanais.",,"Lebanon, Palestine, Israel, United States, Iran, United Arab Emirates, Qatar, Jordan, Germany , Egypt","United States, Israel",Espionage,"Private sector",https://web.archive.org/web/20160304022846/http://www.kaspersky.com/about/news/virus/2012/Kaspersky_Lab_and_ITU_Discover_Gauss_A_New_Complex_Cyber_Threat_Designed_to_Monitor_Online_Banking_Accounts,https://securelist.com/blog/incidents/33854/gauss-nation-state-cyber-surveillance-meets-banking-trojan-54/,https://www.wired.com/2012/08/gauss-espionage-tool/
"Attempted compromise of the BBC Persian TV service",2012-03-14,,"A threat actor attempted to jam BBC satellite feeds into Iran and launched a series of automated calls to flood the BBC London office. The incident occurred after the BBC announced a spike in viewership of its Persian TV service.",,"BBC Persian TV","Iran (Islamic Republic of)","Denial of service","Private sector",http://www.bbc.com/news/technology-17365416,http://www.theguardian.com/media/2012/mar/14/bbc-fears-iran-cyber-attack-persian,
"Sneaky Panda",2012-09-14,"Possibly assisted in Operation Aurora, the RSA incident, and the Joint Strike Fighter Program compromise","This threat actor targets private sector companies in the defense, shipping, aeronautics, arms, and energy sectors, as well as nonprofits and financial firms.",,"United States, Hong Kong, Taiwan, Canada, Australia, China, United Kingdom, India, Denmark, Switzerland",China,Espionage,"Private sector, Civil society",http://www.symantec.com/content/en/us/enterprise/media/security_response/whitepapers/the-elderwood-project.pdf,http://www.csmonitor.com/USA/2012/0914/Stealing-US-business-secrets-Experts-ID-two-huge-cyber-gangs-in-China,
SabPub,2012-04-16,"A variant of Lucky Cat for Mac computers","Malware, believed to be linked to Lucky Cat, that facilitates cyber espionage on activists through spear phishing",,"India, United States, United Kingdom, Spain, France",China,Espionage,Government,https://securelist.com/blog/incidents/33208/new-version-of-osx-sabpub-confirmed-mac-apt-attacks-19/,http://www.securityweek.com/mac-malware-linked-luckycat-attack-campaign,http://www.infoworld.com/article/2617225/malware/sabpub-malware-proves-macs-are-an-apt-target.html
ITSecTeam,2012-09-18,,"One of the threat actors responsible for the denial of service attacks against U.S in 2012–2013. Three individuals associated with the group—believed to be have been working on behalf of Iran’s Islamic Revolutionary Guard Corps—were indicted by the Justice Department in 2016.","Criminal charges   https://www.justice.gov/opa/pr/seven-iranians-working-islamic-revolutionary-guard-corps-affiliated-entities-charged","Bank of America, Citigroup, Wells Fargo, US Bancorp, PNC, Capital One, Fifth Third Bank, BB&T, HSBC","Iran (Islamic Republic of)","Denial of service","Private sector",http://pastebin.com/mCHia4W5,http://www.nytimes.com/2013/01/09/technology/online-banking-attacks-were-work-of-iran-us-officials-say.html,https://www.washingtonpost.com/world/national-security/iran-blamed-for-cyberattacks/2012/09/21/afbe2be4-0412-11e2-9b24-ff730c7f6312_story.html
"Denial of service attacks against U.S. banks in 2012–2013",2012-09-18,"Also known as Operation Ababil","The websites of Bank of America, JPMorgan Chase, Wells Fargo, and other U.S. financial institutions suffered simultaneous outages due to a coordinated denial of service cyberattack in September 2012. Attackers flooded bank servers with junk traffic, preventing users from online banking. An Iranian group called Izz ad-Din al-Qassam Cyber Fighters initially claimed responsibility for the incident. At the time, the media reported that U.S. intelligence believed the denial of service was in response to U.S. imposed economic sanctions to counter Iran’s nuclear program. Seven Iranian individuals linked to the Islamic Revolutionary Guard Corps were eventually indicted by the U.S. Department of Justice in 2016 for their involvement in the incident. 

The denial of service attacks against U.S. banks is significant for two reasons. First, the size and scale of the attacks led the State Department to seek other countries’ assistance in taking down the compromised computers that were flooding the banks with junk traffic. Second, the attacks would indicate that Iran—if it was in fact using the attacks as retaliation for U.S. financial sanctions—was acting proportionally in its dispute with the United States.","Criminal charges   https://www.justice.gov/opa/pr/seven-iranians-working-islamic-revolutionary-guard-corps-affiliated-entities-charged","Bank of America, Citigroup, Wells Fargo, US Bancorp, PNC, Capital One, Fifth Third Bank, BB&T, HSBC","Iran (Islamic Republic of)","Denial of service","Private sector",http://pastebin.com/mCHia4W5,http://www.nytimes.com/2013/01/09/technology/online-banking-attacks-were-work-of-iran-us-officials-say.html,https://www.washingtonpost.com/world/national-security/iran-blamed-for-cyberattacks/2012/09/21/afbe2be4-0412-11e2-9b24-ff730c7f6312_story.html
"Compromise of Coca-Cola",2012-11-04,"Believed to be the work of PLA Unit 61398","A threat actor compromised Coca-Cola’s network coinciding with the company's attempted acquisition of China Huiyuan Juice Group.",,Coca-Cola,China,Espionage,"Private sector",http://www.bloomberg.com/news/articles/2012-11-04/coke-hacked-and-doesn-t-tell,http://www.nytimes.com/2013/02/19/technology/chinas-army-is-seen-as-tied-to-hacking-against-us.html,
"Nitro attacks",2011-10-31,"Possibly linked to the Mitsubishi Heavy Industries incident.","A threat actor targeted defense contractors and private companies involved in research and manufacture of chemicals.",,"United States, Bangladesh, United Kingdom, Argentina, Singapore, China, Taiwan, Germany, Czech Republic, Hong Kong, India, Netherlands, Finland, South Korea, France",China,Espionage,"Government, Private sector",https://www.symantec.com/content/en/us/enterprise/media/security_response/whitepapers/the_nitro_attacks.pdf,http://www.reuters.com/article/us-cyberattack-chemicals-idUSTRE79U4K920111031,http://www.computerworld.com/article/2499789/security0/-nitro--hackers-use-stock-malware-to-steal-chemical--defense-secrets.html
Duqu,2011-10-26,"This is believed be a tool set used by the Equation Group. It is related to Stuxnet and Flame.","Threat actors, using a tool dubbed Duqu, targeted industrial control systems in certain countries.",,"Iran, Sudan",Israel,Espionage,Military,http://www.crysys.hu/publications/files/bencsathPBF11duqu.pdf,http://www.wsj.com/articles/spy-virus-linked-to-israel-targeted-hotels-used-for-iran-nuclear-talks-1433937601,https://www.wired.com/2011/10/son-of-stuxnet-in-the-wild/
"Interference with NASA satellite Landsat 7",2011-11-09,,"Recurring interference with a joint NASA-U.S. Geological Survey satellite in 2007 and 2008",,NASA,China,Espionage,Government,https://web.archive.org/web/20111124012100/http://www.uscc.gov/annual_report/2011/annual_report_full_11.pdf,http://www.bloomberg.com/bw/stories/2008-11-19/network-security-breaches-plague-nasa,http://www.reuters.com/article/2011/10/31/us-china-us-hacking-idUSTRE79U1YI20111031?feedType=RSS&feedName=scienceNews&utm_source=dlvr.it&utm_medium=twitter&dlvrit=309301
"Compromise of Canadian government departments",2011-02-16,,"A threat actor compromised the computer networks of multiple government departments, which led the government to shut down internet access at the affected departments for almost two months.",,"Treasury Board of Canada, Department of Finance, Defense Research and Development Canada",China,Espionage,Government,http://www.cbc.ca/news/politics/foreign-hackers-attack-canadian-government-1.982618,http://www.nytimes.com/2011/02/18/world/americas/18canada.html?_r=0,http://www.bbc.com/news/world-us-canada-12498254
"Interference with NASA satellite Terra (EOS AM-1)",2011-11-09,,"Recurring interference with a NASA observation satellite",,NASA,China,Espionage,Government,https://web.archive.org/web/20111124012100/http://www.uscc.gov/annual_report/2011/annual_report_full_11.pdf,https://web.archive.org/web/20111119045231/http://abcnews.go.com/blogs/politics/2011/11/us-satellites-compromised-by-malicious-cyber-activity/,http://www.reuters.com/article/2011/10/31/us-china-us-hacking-idUSTRE79U1YI20111031?feedType=RSS&feedName=scienceNews&utm_source=dlvr.it&utm_medium=twitter&dlvrit=309301
"Compromise of RSA SecureID tokens",2011-03-19,"This incident is believed to be the work of Unit 61398 and at least two other Chinese groups, according to the New York Times. The threat actor Sneaky Panda may also have assisted.","Threat actors attacked computer security company RSA and compromised millions of SecureID tokens. Linked to the compromise of data from the U.S. F-35 Joint Strike Fighter program at Lockheed Martin.",,RSA,China,Espionage,"Private sector",http://bits.blogs.nytimes.com/2011/04/02/the-rsa-hack-how-they-did-it/?_r=0%20,https://web.archive.org/web/20110319214522/http://www.rsa.com/node.aspx?id=3872,https://www.wired.com/2011/08/how-rsa-got-hacked/
"Compromise of the U.S. Chamber of Commerce",2011-12-21,,"Threat actors compromised the computer networks of the U.S. Chamber of Commerce","Denouncement   http://venturebeat.com/2011/12/21/china-chamber-of-commerce-hack/","U.S. Chamber of Commerce",China,Espionage,Government,http://www.wsj.com/articles/SB10001424052970204058404577110541568535300,http://venturebeat.com/2011/12/21/china-chamber-of-commerce-hack/,http://abcnews.go.com/International/chinese-hack-us-chamber-commerce-authorities/story?id=15207642
"Denial of service incident against South Korean and U.S. targets",2011-04-09,"Believed to be the work of the Lazarus Group","Dubbed “Ten Days of Rain,” this attack was a ten-day denial of service campaign that targeted websites associated with the South Korean government and U.S. military forces in South Korea.",,"South Korea, U.S. Forces Korea","Korea (Democratic People's Republic of)","Denial of service","Government, Military",https://web.archive.org/web/20140602010545/http://blogs.mcafee.com/mcafee-labs/10-days-of-rain-in-korea,https://threatpost.com/mcafee-fingers-north-korea-attacks-south-korean-sites-070611/75398/,http://www.bbc.com/news/technology-12646052
"Denial of service incident against a South Korean bank",2011-04-18,,"South Korean prosecutors allege that North Korean intelligence conducted a denial of service campaign against a South Korean bank, causing millions of customers to be unable to use the bank's credit cards and ATMs for more than a week.","Denouncement   http://www.bbc.com/news/world-asia-pacific-13263888","National Agricultural Cooperative Federation","Korea (Democratic People's Republic of)","Denial of service","Private sector",http://www.koreatimes.co.kr/www/news/nation/2011/05/117_86369.html,http://www.reuters.com/article/korea-north-cyber-idUSL3E7G31BT20110503,https://www.washingtonpost.com/world/national-security/suspected-north-korean-cyber-attack-on-a-bank-raises-fears-for-s-korea-allies/2011/08/07/gIQAvWwIoJ_story.html
"Compromise of Oak Ridge National Laboratory",2011-04-19,,"A compromise at the computer network of Oak Ridge National Laboratory led to the exfiltration of approximately one gigabyte of data and the shutdown of the network.",,"Oak Ridge National Laboratory",China,Espionage,"Government, Private sector",http://www.computerworld.com/article/2507715/cybercrime-hacking/oak-ridge-national-lab-shuts-down-internet--email-after-cyberattack.html,http://www.wired.com/2011/04/oak-ridge-lab-hack/,http://securitywatch.pcmag.com/google/283508-oak-ridge-national-laboratory-hacked
"Shady RAT",2011-08-03,"Believed to be a tool used by PLA Unit 61398","A threat actor targeted government entities (primarily in the United States), defense contractors, think tanks, and companies in the advanced information technology and aerospace industries for espionage purposes using a tool called Shady RAT.",,"United States, Canada, South Korea, Taiwan, Japan, Switzerland, United Kingdom, Indonesia, Vietnam, Singapore, Hong Kong, Germany, India, United Nations, International Olympic Committee",China,Espionage,"Government, Military",http://www.mcafee.com/us/resources/white-papers/wp-operation-shady-rat.pdf,http://www.vanityfair.com/news/2011/09/operation-shady-rat-201109,https://www.washingtonpost.com/national/national-security/report-identifies-widespread-cyber-spying/2011/07/29/gIQAoTUmqI_story.html
"Compromise of a Taiwanese political party",2011-08-09,,"A threat actor compromised the computer network of the Democratic Progressive Party (a political party in Taiwan) and exfiltrated data.","Denouncement   http://www.taipeitimes.com/News/front/archives/2011/08/10/2003510374/1","Democratic Progressive Party",China,Espionage,Government,http://www.taipeitimes.com/News/front/archives/2011/08/10/2003510374/1,http://www.theepochtimes.com/n3/1494970-chinese-state-media-denies-hacking-taiwan-e-mails/,http://www.news24.com/SciTech/News/Taiwan-party-Chinese-hacked-us-20110809
"Compromise of certificate issuer DigiNotar",2011-09-06,,"DigiNotar was a Dutch issuer of the digital security certificates [PDF] that authenticate the identities of servers on the internet. This authentication process is essential for online transactions; the certificates allow users to trust that the website they reached is the one they intended and not a decoy that could be used for fraud. An unknown threat actor breached DigiNotar’s network in 2011 and stole authentication certificates to masquerade as other online properties. For example, the threat actors used the certificates to pose as Google and spy on approximately three hundred thousand Iranian Gmail accounts. The fallout from the cyberattack caused DigiNotar to file for bankruptcy, as it was no longer considered a reliable provider for digital security certificates. 

DigiNotar was a certificate issuer for the Dutch government at the time, so the compromise jeopardized the information of Dutch citizens. The breach also revealed the previously hidden insecurities of online trust infrastructure, leading to new certificate authentication standards to better ensure the future protection of online consumers.",,DigiNotar,,Espionage,"Government, Private sector",http://www.computerworld.com/article/2510951/cybercrime-hacking/hackers-spied-on-300-000-iranians-using-fake-google-certificate.html,http://scholarcommons.usf.edu/cgi/viewcontent.cgi?article=1246&context=jss,https://www.enisa.europa.eu/media/news-items/operation-black-tulip
"Compromise at Mitsubishi Heavy Industries",2011-09-19,"Possibly linked to the Nitro incident","A threat actor compromised Mitsubishi Heavy Industries, a Japanese defense contractor, targeting shipyards and research and development facilities.",,"Mitsubishi Heavy Industries",,Espionage,"Private sector",http://www.reuters.com/article/us-mitsubishiheavy-computer-idUSTRE78I0EL20110919,http://www.bbc.com/news/world-asia-pacific-14982906,http://www.computerworld.com/article/2499789/security0/-nitro--hackers-use-stock-malware-to-steal-chemical--defense-secrets.html
"Operation Aurora",2010-01-14,"Believed to be the work of PLA Unit 61398 with possible assistance from Sneaky Panda. Believed to be associated with Winnti Umbrella","Operation Aurora was a series of cyberattacks from China that targeted U.S. private sector companies in 2010. The threat actors conducted a phishing campaign that compromised the networks of Yahoo, Adobe, Dow Chemical, Morgan Stanley, Google, and more than two dozen other companies to steal their trade secrets. Google was the only company that confirmed it was a victim and disclosed to the public that the Gmail accounts of certain Chinese human rights activists had been compromised. Google also publicly attributed the incident to China, something companies were reluctant to do for fear of jeopardizing their access to the Chinese market.  

The incident is viewed as a milestone in the recent history of cyber operations because it raised the profile of cyber operations as a tool for industrial espionage. It led Google to cease its operations in China, though it continues to operate a localized version of its search engine in Hong Kong. As a result of the Gmail compromise, Google began notifying users if it believed their accounts had been targeted or compromised by a state-sponsored actor. This practice later spread to other email providers.","Denouncement   http://www.nytimes.com/2010/01/22/world/asia/22diplo.html","Google, Adobe, Juniper Networks, Rackspace, Yahoo, Symantec, Northtrop Grumman, Morgan Stanley, Dow Chemical",China,Espionage,"Private sector",http://www.wired.com/2010/01/operation-aurora/,https://web.archive.org/web/20160417132538/https://kc.mcafee.com/resources/sites/MCAFEE/content/live/CORP_KNOWLEDGEBASE/67000/KB67957/en_US/Combating%20Threats%20-%20Operation%20Aurora.pdf,http://www.washingtonpost.com/wp-dyn/content/article/2010/01/13/AR2010011300359.html
"Compromise of three Australian mining companies",2010-04-19,,"A threat actor compromised the computer networks of Rio Tinto, BHP Billiton, and Fortescue Metals and exfiltrated data.",,"Rio Tinto, BHP Billiton, Fortescue Metals",China,Espionage,"Private sector",http://www.abc.net.au/4corners/content/2010/s2876920.htm,http://www.zdnet.com/article/chinese-cyber-attacks-on-miners-report/,http://www.itnews.com.au/news/abc-fingers-china-over-cyber-attacks-172554
"Shadow Network",2010-04-06,"Has links to Lucky Cat and GhostNet","A cyber threat actor that compromised government, business, academic, and other computer network systems, such as the Office of His Holiness the Dalai Lama and the United Nations, for espionage purposes.",,"National Security Council, Ministry of External Affairs, Institute for Defence Studies and Analyses, United Nations",China,Espionage,"Military, Government",http://www.nartv.org/mirror/shadows-in-the-cloud.pdf,,
Stuxnet,2010-07-22,"Codenamed “Olympic Games” and believed to be the work of the Equation Group","Believed to have been developed as a joint operation between U.S. and Israeli intelligence services, the Stuxnet malware compromised industrial control systems at the Natanz nuclear material enrichment facility in Iran. Stuxnet was specifically designed to cause centrifuges to fail while providing readings to their operators that they were running normally. Reports indicate that the United States pursued the Stuxnet operation as a way of degrading Iran’s nuclear weapons program without resorting to an airstrike or an attack by special operation forces.

Stuxnet was the first publicly known instance in which a cyber operation caused physical damage outside of a controlled testing environment. It demonstrated the potential effectiveness and value of a cyber weapon. Many experts and former government officials feared that the attack on Natanz would open the door to other states conducting destructive cyberattacks and Stuxnet would represent, in the words of former Director of the National Security Agency Michael Hayden, a moment when “somebody crossed the Rubicon.” However, nation-states have so far exercised restraint.","Denouncement   http://www.reuters.com/article/us-iran-nuclear-stuxnet-idUSTRE73G0NB20110417","Iran, Indonesia, India, Azerbaijan, Pakistan, Malaysia, United States, Uzbekistan, Russia, United Kingdom, South Korea, Taiwan","Israel, United States",Sabotage,Military,http://www.symantec.com/connect/blogs/w32stuxnet-network-information,http://www.bbc.com/news/technology-11388018,"http://www.pcmag.com/article2/0,2817,2369745,00.asp"
"Defacement of Baidu",2010-01-12,,"Threat actors disrupted access to Baidu, China's most popular search engine. A group calling itself the Iran Cyber Army, which could be state sponsored, claims credit for the incident.",,Baidu,"Iran (Islamic Republic of)",Defacement,"Private sector",https://web.archive.org/web/20150909180441/http://news.xinhuanet.com/english/2010-01/12/content_12797829.htm,http://thelede.blogs.nytimes.com/2010/01/12/iranian-cyber-army-strikes-chinese-site/?_r=0,http://news.bbc.co.uk/2/hi/technology/8453718.stm
"Compromise of the Indian Prime Minister's Office",2010-01-14,,"Threat actors compromised computers in the office of the Indian prime minister.","Denouncement   http://www.thetimes.co.uk/tto/news/world/asia/article2611832.ece","Prime Minister's Office",China,Espionage,Government,http://indiatoday.intoday.in/story/Chinese+hackers+target+PMO/1/79215.html,http://archive.indianexpress.com/news/chinese-hacked-pmo-computers-says-narayanan/569075/,http://www.ndtv.com/india-news/chinese-attempt-to-hack-into-pmo-e-mails-409077
"Malware targets Vietnamese users",2010-03-30,,"Google announced that botnets and malware were targeting computer users in Vietnam with the intention of muting critics of a controversial government-approved plan that allowed a Chinese company to mine there.",,"Vietnamese political activists",Vietnam,"Denial of service",Government,https://googleonlinesecurity.blogspot.com/2010/03/chilling-effects-of-malware.html,http://www.itnews.com.au/news/google-finds-botnet-targeting-vietnamese-users-171087,http://www.deseretnews.com/article/700020931/Google-Online-attacks-aimed-at-Vietnams-critics.html?pg=all
"Night Dragon",2010-01-25,,"A threat actor compromised U.S. oil companies through spear phishing and remote administration tools",,"Marathon Oil, ExxonMobil, ConocoPhillips",China,Espionage,"Private sector",http://www.mcafee.com/us/resources/white-papers/wp-global-energy-cyberattacks-night-dragon.pdf,http://www.csmonitor.com/USA/2010/0125/US-oil-industry-hit-by-cyberattacks-Was-China-involved,http://www.wired.com/2010/01/hack-for-oil
"Compromise of the office of Senator Ben Nelson",2009-03-20,,"Threat actors compromised computers associated with Senator Ben Nelson and data was exfiltrated.",,"Office of Senator Ben Nelson",China,Espionage,Government,http://web.archive.org/web/20090323095526/http://www.cqpolitics.com/wmspage.cfm?docid=news-000003080993,http://www.govinfosecurity.com/senator-office-computers-breached-a-1305,http://foreignpolicy.com/2010/01/22/the-top-10-chinese-cyber-attacks-that-we-know-of/
"Compromise of computers associated with the Joint Strike Fighter program",2009-04-21,"Sneaky Panda is among some of the actors suspected to be behind this incident.","Computers associated with the U.S. Air Force's Joint Strike Fighter (also known as the F-35 Lightning II) project at Lockheed Martin, also known as the were compromised. The similarities between the F-35 and the Chinese J-20 have fueled speculation that the Chinese government may have been behind the compromise.",,"U.S. Department of Defense",China,Espionage,Military,http://www.wsj.com/articles/SB124027491029837401#mg%253Dcom-wsj%2526articleTabs%253Darticle,http://www.csmonitor.com/Technology/Horizons/2009/0421/did-hackers-break-into-a-top-secret-usaf-program,http://www.washingtontimes.com/news/2014/mar/13/f-35-secrets-now-showing-chinas-stealth-fighter/?page=all
"Fourth of July incident",2009-07-08,,"A series of denial of service incidents affecting at least thirty-five government and commercial websites in South Korea and the United States","Denouncement   http://english.yonhapnews.co.kr/northkorea/2009/10/30/0401000000AEN20091030002200315.HTML","South Korea, United States","Korea (Democratic People's Republic of)","Denial of service","Government, Private sector",http://www.csmonitor.com/Technology/Horizons/2009/0708/north-korean-hackers-blamed-for-sweeping-cyber-attack-on-us-networks,http://www.seattletimes.com/nation-world/whos-behind-cyber-assaults/,http://www.cnn.com/2009/TECH/07/08/government.hacking/index.html?iref=24hours
GhostNet,2009-03-28,,"GhostNet was a large-scale electronic espionage program used to spy on individuals, organizations, and governments. The threat actors breached 1,295 computers in 103 countries over a two-year period, predominately focusing on governments in Southeast Asia. The GhostNet operation was discovered after an investigation into a potential breach of the office of the Dalai Lama in India. Investigators at the University of Toronto’s Citizen Lab confirmed that the threat actors were based in China.

The report about GhostNet was one of the first publicly available in which computer security researchers outlined their methodology and backed up their claims with forensic evidence [PDF], demystifying cyber operations and demonstrating that private actors had significant capabilities to attribute threat actors.",,"Iran, Bangladesh, India, South Korea, Germany, Pakistan, Taiwan, Thailand, Indonesia, Philippines, Latvia, Portugal, Barbados, China",China,Espionage,"Government, Private sector",https://www.scribd.com/doc/13731776/Tracking-GhostNet-Investigating-a-Cyber-Espionage-Network,http://www.nytimes.com/2009/03/29/technology/29spy.html?_r=2&hp=&pagewanted=print,http://www.nytimes.com/2010/12/05/world/asia/05wikileaks-china.html?pagewanted=all%20
"Compromise of U.S. presidential campaigns in 2008",2008-11-04,,"In 2008, a foreign entity waged cyber espionage operations against the presidential campaigns of Barack Obama and John McCain. Phishing emails sent to top campaign aides delivered malware, allowing threat actors to exfiltrate data from both campaigns. U.S. intelligence officials believe that Chinese threat actors were seeking internal policy papers in order to gain leverage with the winner of the election.

This was the first time that a foreign actor was discovered exfiltrating large quantities of information from a U.S. presidential race for potential use by a foreign government.",,"Obama Campaign, McCain Campaign",China,Espionage,"Civil society",http://www.cnn.com/2008/TECH/11/06/campaign.computers.hacked/,http://investigations.nbcnews.com/_news/2013/06/06/18807056-chinese-hacked-obama-mccain-campaigns-took-internal-documents-officials-say,
"Compromise at NASA Kennedy Space Center",2008-11-19,,"Malware gathered data from computer networks associated with the Discovery Space Shuttle.",,NASA,China,Espionage,Government,http://www.bloomberg.com/bw/stories/2008-11-19/network-security-breaches-plague-nasa,,
"Compromise of NASA network in Washington, DC",2008-11-19,,"Spear phishing compromised computers at NASA headquarters",,NASA,China,Espionage,Government,http://www.bloomberg.com/bw/stories/2008-11-19/network-security-breaches-plague-nasa,,
Agent.btz,2008-11-28,"Associated with Turla","Agent.btz was malicious software designed to steal documents from classified and unclassified U.S. military networks in 2008. A flash drive infected with Agent.btz was reportedly inserted into a laptop at a U.S. military base in the Middle East, and from there the worm spread undetected to U.S. computers at the Department of Defense and in combat zones. Russia is suspected of being behind the incident. Once the compromise was detected, it took fourteen months to remove Agent.btz from the Pentagon’s networks and the incident triggered a departmental ban of USB drives.

Agent.btz was a significant breach of U.S. military systems, and the vulnerabilities it exposed ultimately led to the creation of U.S. Cyber Command, a military command with the mission of defending Department of Defense networks and conducting offensive cyber operations for the U.S. military.",,"United States, Russia, Spain, Italy, Kazakhstan, Germany, Poland, Latvia, Lithuania, United Kingdom, Ukraine","Russian Federation",Espionage,"Military, Private sector",http://articles.latimes.com/2008/nov/28/nation/na-cyberattack28,https://www.washingtonpost.com/national/national-security/cyber-intruder-sparks-response-debate/2011/12/06/gIQAxLuFgO_story.html,
